#nl;fr;picture
groot;;1
groot (m);grand;1
groot (v);grande;1
wonen;habiter;2
wonen in;habiter à;2
een vriend;un ami;3
klein;;4
klein (m);petit;4
klein (v);petit;4
hebben;avoir;5
een jaar;un an;6
jong;jeune;7
ziehier;voici;8
ziedaar;voilà;8
een vlog;un vlog;9
sympathiek;sympa;10
hier;ici;11
een vriendin;une amie;12
super;super;13
geweldig;formidable;14
Brussel;Bruxelles;15
in Brussel;à Bruxelles;15
Vlaanderen;la Flandre;23
een leeftijd;un âge;16
een land;un pays;24
Wallonië;la Wallonie;25
een stad;une ville;18
een man;un homme;19
België;la Belgique;26
een vrouw;une femme;20
een naam;un nom;27
sterk;;21
sterk (m);fort;21
sterk (v);forte;21
een foto;une photo;22
een voornaam;un prénom;28
Dag!;Salut!;29
aardig;;30
lief;;30
aardig, lief (m);gentil;30
aardig, lief (v);gentille;30
Tot binnenkort!;À bientôt!;31
mooi;;32
mooi, aardig, lief (m);joli;32
mooi, aardig, lief (v);jolie;32
oud;;33
oud (m);vieux;33
oud (v);vieille;33
boeken;des livres;34
leerlingen;des élèves;35
stoelen;des chaises;36
bananen;des bananes;37
borden;des tableaux;38
meisjes;des filles;39
bureaus;des bureaux;40
jongens;des garçons;41
een banaan;une banane;42
