een graad;un degré;3
de zon;le soleil;2
het weerbericht;la météo;1
de ochtend;le matin;6
de wind;le vent;5
een temperatuur;une température;4
de avond;le soir;9
het weer;le temps;8
een dag;une journée;7
een onweer;un orage;12
de mist;le brouillard;11
een bestemming;une destination;10
de regen;la pluie;16
regenen;pleuvoir;15
het regent;il pleut;15
verlagen;baiser;14
dalen;baiser;14
de sneeuw;la neige;20
vriezen;geler;19
het vriest;il gèle;19
veranderen;changer;17
de nacht;la nuit;23
doen;faire;22
maken;faire;22
goed;la nuit;21
schijnen;briller;26
sneeuwen;neiger;25
het sneeuwt;il neige;25
warm;;24
warm (m);chaud;24
warm (v);chaude;24
koud;;29
koud (m);froid;29
koud (v);froide;29
altijd;toujours;28
morgen;demain;27
slecht;;31
slecht (m);mauvais;31
slecht (v);mauvaise;31
nu;maintenant;30
vooral;surtout;
bewolkt;;32
bewolkt (m);nuageaux;32
bewolkt (v);nuageause;32
tijdens;pendant;
een bos;un bois;35
de zonnecrème;la crème solaire;35
de zee;la mer;33
een regenboog;un arc-en-ciel;38
een blad;une feuille;37
een sjaal;une écharpe;36
een paraplu;une parapluie;41
een bloem;une fleur;40
de natuur;la nature;39
een dorp;un village;44
een gebergte;une montange;43
een berg;une montange;43
het platteland;la compagne;42
een zonnebril;des lunettes de soleil;46
wachten;attendre;45
leren;apprendre;48
begrijpen;comprendre;47
nemen;prendre;50
horen;entendre;49
